"date","ws","wd","nox","no2","o3","pm10","so2","co","pm25"
1999-01-05 23:00:00,5.4,200,176,33,2,41,5.325,1.65,25
1999-01-06 00:00:00,4.68,200,169,36,2,44,5.0575,1.325,24
1999-01-06 01:00:00,5.76,210,139,33,3,41,4.055,0.9,21
1999-01-06 02:00:00,4.44,200,107,29,6,38,3.55,0.5333334,19
1999-01-06 03:00:00,3,200,67,25,10,34,2.76,0.35,17
1999-01-06 04:00:00,2.16,210,64,21,11,32,2.7125,0.275,15
1999-01-06 06:00:00,3.84,200,149,34,5,34,5.275,0.85,18
1999-01-06 07:00:00,5.52,200,292,54,3,44,8.795,2.075,25
1999-01-06 08:00:00,6.72,200,274,49,2,46,8.82,2.25,26
1999-01-06 09:00:00,7.68,210,303,47,2,57,9.43,2.2,34
1999-01-06 10:00:00,7.92,210,299,51,2,69,9.82,1.85,36
1999-01-06 11:00:00,7.44,200,354,71,3,73,11.215,2.375,36
1999-01-06 12:00:00,7.56,210,420,48,4,69,12.3825,3.175,38
1999-01-06 13:00:00,8.04,210,397,51,3,67,12.435,3.15,16
1999-01-06 14:00:00,7.32,210,323,54,2,68,9.7475,2.475,40
1999-01-06 15:00:00,7.08,210,415,88,2,69,11.285,3.5,61
1999-01-06 16:00:00,6.96,210,228,45,2,58,7.475,2.225,38
1999-01-06 17:00:00,6.48,210,235,38,2,52,7.0825,2.775,31
1999-01-06 18:00:00,6.48,210,281,49,2,53,9.0125,3.5,31
1999-01-06 19:00:00,7.92,220,173,41,2,50,5.03,2.175,28
1999-01-06 20:00:00,6.24,210,248,39,1,47,5.5475,2.925,32
1999-01-06 21:00:00,4.08,320,58,24,6,15,1.2225,0.8,12
1999-01-06 22:00:00,3,330,52,25,4,5,0.83,0.35,7
1999-01-06 23:00:00,2.4,330,40,24,8,5,0.6575,0.3,7
1999-01-07 00:00:00,2.52,290,88,33,8,8,1.6625,0.55,8
1999-01-07 01:00:00,2.28,250,120,38,4,12,3.4225,0.8,8
1999-01-07 02:00:00,2.28,260,135,35,3,16,3.483333,0.8,13
1999-01-07 03:00:00,3.36,210,119,32,3,13,2.98,0.675,9
1999-01-07 04:00:00,2.88,210,110,34,4,14,2.495,0.6,10
1999-01-07 06:00:00,3.6,220,286,42,2,28,6.9125,1.525,16
1999-01-07 07:00:00,3.72,230,429,51,2,41,10.185,3.15,24
1999-01-07 08:00:00,3.48,230,461,59,2,51,10.53,3.825,27
1999-01-07 09:00:00,2.64,0,440,52,2,53,9.8225,3.05,32
1999-01-07 10:00:00,3.36,150,390,60,2,50,8.5725,2.55,28
1999-01-07 11:00:00,3.72,230,402,64,2,50,9.625,2.575,33
1999-01-07 12:00:00,5.04,220,503,56,3,56,12.4575,3.675,32
1999-01-07 13:00:00,5.52,210,384,56,3,46,10.065,2.75,23
1999-01-07 14:00:00,5.52,220,339,58,2,41,9.16,2.5,24
1999-01-07 15:00:00,6.12,220,437,72,3,43,10.82,3.825,25
1999-01-07 16:00:00,6.6,200,410,50,3,33,9.48,3.775,19
1999-01-07 17:00:00,7.44,190,311,56,2,24,7.4225,4.5,13
1999-01-07 18:00:00,7.56,190,311,65,2,23,7.375,3.9,15
1999-01-07 19:00:00,7.68,220,285,43,1,26,6.915,3.4,18
1999-01-07 20:00:00,8.639999,250,290,50,3,25,7.5725,3.65,17
1999-01-07 21:00:00,7.8,250,206,49,1,24,5.7625,2,17
1999-01-07 22:00:00,6.96,260,209,47,2,20,5.62,1.75,14
1999-01-07 23:00:00,5.88,250,239,45,1,24,6.2075,2.225,18
1999-01-08 00:00:00,6.24,260,218,45,2,24,5.1775,1.875,18
1999-01-08 01:00:00,5.16,250,141,44,3,17,3.5925,1,13
1999-01-08 02:00:00,4.92,250,103,35,7,14,3.126667,0.7,11
1999-01-08 03:00:00,3.48,280,109,35,5,18,3.3475,0.75,12
1999-01-08 04:00:00,3.48,250,114,33,5,21,4.0575,0.725,12
1999-01-08 05:00:00,3.96,250,143,35,3,23,5.8125,0.825,15
1999-01-08 06:00:00,5.28,250,260,50,2,32,7.7675,1.575,21
1999-01-08 07:00:00,4.68,250,406,52,2,43,11.335,2.575,29
1999-01-08 08:00:00,4.32,230,525,56,3,57,14.2925,3.675,35
1999-01-08 09:00:00,5.76,250,470,68,2,58,11.6775,3.175,36
1999-01-08 10:00:00,6.48,230,390,60,2,48,10.9175,2.366667,29
1999-01-08 11:00:00,4.68,240,438,63,3,50,12.97,2.875,23
1999-01-08 12:00:00,4.8,250,377,66,2,51,11.6025,2.9,27
1999-01-08 13:00:00,3,220,539,93,3,48,12.3125,3.925,32
1999-01-08 14:00:00,1.56,30,179,57,1,26,4.615,1.6,17
1999-01-08 15:00:00,2.64,60,171,45,0,19,3.9825,1.675,17
1999-01-08 16:00:00,2.76,50,134,45,0,17,3.25,1.5,15
1999-01-08 17:00:00,3.12,30,94,38,4,12,2.5425,1.125,10
1999-01-08 18:00:00,1.92,50,172,48,1,19,3.785,2.05,17
1999-01-08 19:00:00,2.04,20,138,39,0,24,3.3225,1.75,20
1999-01-08 20:00:00,2.04,360,107,34,0,25,4.79,0.875,19
1999-01-08 21:00:00,2.4,350,102,32,1,20,5.3,1.025,17
1999-01-08 22:00:00,2.4,340,99,30,1,15,3.9825,0.75,13
1999-01-08 23:00:00,2.64,330,99,30,3,15,3.3975,0.775,14
1999-01-09 00:00:00,2.4,340,84,32,6,12,2.665,0.6,10
1999-01-09 01:00:00,2.04,340,86,31,6,10,2.27,0.5333334,9
1999-01-09 02:00:00,2.28,340,72,31,6,10,1.723333,0.3333333,8
1999-01-09 03:00:00,2.16,310,65,27,8,10,1.12,0.325,8
1999-01-09 04:00:00,1.8,320,44,22,10,11,1.195,0.225,10
1999-01-09 06:00:00,2.04,310,64,28,5,13,2.2225,0.25,11
1999-01-09 07:00:00,0.96,320,100,31,3,15,2.7125,0.425,12
1999-01-09 08:00:00,1.2,340,102,36,4,16,3.59,0.625,14
1999-01-09 09:00:00,1.8,330,113,37,4,17,6.5475,0.7,15
1999-01-09 10:00:00,1.68,330,101,38,5,19,8.5775,0.775,15
1999-01-09 11:00:00,2.52,320,119,35,4,17,9.355,0.85,14
1999-01-09 12:00:00,2.52,340,81,32,8,15,8.6475,0.8,11
1999-01-09 13:00:00,2.76,350,111,41,9,13,8.82,1.475,11
1999-01-09 14:00:00,2.4,340,109,33,6,14,6.1775,1.3,12
1999-01-09 15:00:00,2.52,350,100,35,4,15,6.5225,0.95,12
1999-01-09 16:00:00,2.4,330,89,36,6,13,6.94,0.825,11
1999-01-09 17:00:00,1.68,360,145,42,5,15,10.285,1.45,12
1999-01-09 18:00:00,2.28,350,153,48,3,15,8.2575,1.825,13
1999-01-09 19:00:00,2.04,20,107,33,2,17,4.52,1.1,14
1999-01-09 20:00:00,2.04,10,124,37,1,18,3.9575,1.125,15
1999-01-09 21:00:00,2.16,20,112,32,1,18,3.42,1.025,16
1999-01-09 22:00:00,2.04,10,138,33,1,21,3.9825,1.25,19
1999-01-09 23:00:00,1.44,360,131,33,1,21,4.105,1.075,19
1999-01-11 00:00:00,2.4,360,49,25,11,13,0.955,0.3,11
1999-01-11 01:00:00,2.4,360,30,18,14,12,0.71,0.1333333,11
1999-01-11 02:00:00,2.4,10,28,20,17,12,1.203333,0.03333334,10
1999-01-11 03:00:00,1.68,10,27,19,15,11,1.025,0.025,10
1999-01-11 04:00:00,2.16,350,31,20,12,13,1.4425,0.125,11
1999-01-11 06:00:00,1.92,360,66,30,8,14,2.76,0.275,11
1999-01-11 07:00:00,1.56,10,127,39,3,19,4.6175,0.7,16
1999-01-11 08:00:00,2.04,350,160,44,2,24,6.2525,1.325,19
1999-01-11 09:00:00,2.04,330,134,42,3,23,6.72,0.95,17
1999-01-11 12:00:00,1.92,360,175,52,5,23,6.7425,1.025,20
1999-01-11 13:00:00,2.4,340,146,43,4,33,5.935,0.95,21
1999-01-11 14:00:00,2.16,340,98,37,7,20,4.665,0.675,15
1999-01-11 15:00:00,2.28,340,105,39,5,17,4.3,0.775,13
1999-01-11 16:00:00,1.8,330,122,48,2,19,5.1525,1.425,15
1999-01-11 17:00:00,1.44,320,174,52,1,25,8.6475,1.6,22
1999-01-11 18:00:00,1.68,320,174,43,1,28,7.6225,1.775,23
1999-01-11 19:00:00,1.68,330,182,44,1,28,6.1575,1.775,23
1999-01-11 20:00:00,1.44,320,210,44,1,27,6.69,2,22
1999-01-11 21:00:00,0.6,340,213,48,1,28,6.01,1.55,23
1999-01-11 22:00:00,0.36,230,262,46,1,31,7.035,1.95,24
1999-01-11 23:00:00,1.56,190,473,55,3,47,12.4825,3.375,39
1999-01-12 00:00:00,2.16,280,388,53,2,53,10.845,2.925,42
1999-01-12 01:00:00,0.96,270,316,39,1,44,10.9425,1.866667,35
1999-01-12 02:00:00,2.16,210,209,43,1,33,5.996666,1.066667,26
1999-01-12 03:00:00,2.16,210,168,43,1,23,5.5675,0.825,18
1999-01-12 04:00:00,2.04,180,166,41,1,21,5.8375,0.9,17
1999-01-12 06:00:00,3.96,180,257,45,1,26,9.675,1.325,20
1999-01-12 07:00:00,4.44,180,337,59,2,34,11.555,1.95,23
1999-01-12 08:00:00,4.68,190,505,112,3,40,14.3875,4.55,27
1999-01-12 10:00:00,6.48,200,306,64,1,26,8.55,2.475,14
1999-01-12 11:00:00,7.8,180,375,58,2,29,9.1125,2.75,16
1999-01-12 12:00:00,8.28,190,404,89,3,30,9.4775,2.55,17
1999-01-12 13:00:00,9,200,470,87,3,34,10.1375,3.025,21
1999-01-12 14:00:00,6,200,412,62,2,35,9.82,2.9,19
1999-01-12 15:00:00,4.08,220,408,59,1,37,10.235,3.5,30
1999-01-12 16:00:00,3.72,300,228,72,0,24,7.0325,1.825,18
1999-01-12 18:00:00,4.08,290,190,49,1,19,7.28,2.6,16
1999-01-12 19:00:00,4.08,270,211,51,2,22,7.3525,2.35,15
1999-01-12 20:00:00,4.08,280,162,49,1,23,5.915,1.85,17
1999-01-12 21:00:00,4.44,290,142,40,1,22,5.3975,1.25,15
1999-01-12 22:00:00,3.96,280,119,43,4,20,4.6675,0.875,13
1999-01-12 23:00:00,3.12,290,133,39,3,21,4.765,0.975,14
1999-01-13 00:00:00,4.2,290,179,54,2,24,5.84,1.125,16
1999-01-13 01:00:00,4.68,280,111,43,4,18,4.35,0.7666667,12
1999-01-13 02:00:00,3.72,270,73,36,12,14,3.583333,0.1666667,8
1999-01-13 03:00:00,3.72,280,54,27,14,12,2.81,0.125,8
1999-01-13 04:00:00,4.2,290,58,27,14,12,2.6375,0.125,8
1999-01-13 06:00:00,3.36,280,234,47,2,22,6.6925,1.025,17
1999-01-13 07:00:00,4.8,260,491,74,3,45,13.3125,3.05,36
1999-01-13 08:00:00,4.44,260,579,67,3,56,16.66,4.6,39
1999-01-13 09:00:00,4.56,260,508,70,2,73,14.2175,3.4,46
1999-01-13 10:00:00,5.88,280,530,56,2,62,15.0475,3.25,40
1999-01-13 11:00:00,5.88,260,530,73,2,66,14.68,3.475,40
1999-01-13 12:00:00,5.4,240,646,88,2,61,16.05,3.75,40
1999-01-13 13:00:00,6.6,230,677,79,2,60,13.975,4.15,38
1999-01-13 14:00:00,6.6,220,572,96,2,47,12.095,3.65,28
1999-01-13 15:00:00,6,200,566,89,1,42,11.505,3.875,25
1999-01-13 16:00:00,6.24,210,453,74,1,39,10.4075,4.65,23
1999-01-13 17:00:00,6.48,220,390,68,1,31,9.48,5.225,22
1999-01-13 18:00:00,6.24,220,373,57,0,26,9.9175,4.8,19
1999-01-13 19:00:00,4.92,240,284,49,0,25,8.8175,3.65,17
1999-01-13 20:00:00,5.64,260,335,68,1,30,9.87,3.925,22
1999-01-13 21:00:00,6,250,279,52,0,35,8.6975,3.15,25
1999-01-13 22:00:00,5.88,260,228,53,0,34,7.5975,2.05,23
1999-01-13 23:00:00,5.16,260,215,55,1,33,8.1825,1.875,19
1999-01-14 00:00:00,4.56,260,180,41,3,34,7.5725,1.45,17
1999-01-14 01:00:00,5.28,270,165,47,2,35,6.8875,1.166667,22
1999-01-14 02:00:00,6,260,110,37,7,32,5.766667,0.6,18
1999-01-14 03:00:00,5.88,250,100,38,7,32,5.155,0.525,17
1999-01-14 04:00:00,5.4,260,88,37,7,32,4.3725,0.5,17
1999-01-14 06:00:00,5.28,270,215,50,2,28,6.275,1.05,19
1999-01-14 07:00:00,5.52,270,378,65,2,40,9.87,2.4,29
1999-01-14 08:00:00,5.52,260,402,67,2,49,11.1875,3.2,32
1999-01-14 09:00:00,6.72,260,394,63,2,57,12.24,2.8,38
1999-01-14 10:00:00,8.52,260,411,59,2,60,12.2375,2.5,35
1999-01-14 12:00:00,9.360001,260,415,69,3,49,12.995,2.625,29
1999-01-14 13:00:00,8.76,250,457,87,3,49,13.9475,2.85,29
1999-01-14 14:00:00,8.4,240,377,67,3,49,12.4825,2.7,28
1999-01-14 15:00:00,8.04,230,438,72,3,52,13.7325,3.425,32
1999-01-14 16:00:00,7.68,220,396,83,2,50,12.0675,3.3,27
1999-01-14 17:00:00,8.52,220,371,70,3,42,11.2875,4.025,25
1999-01-14 18:00:00,9.24,220,309,68,3,34,9.26,4.15,21
1999-01-14 19:00:00,8.88,220,279,52,2,31,8.11,3.625,19
1999-01-14 20:00:00,9.6,230,324,58,2,36,7.6675,4.125,24
1999-01-14 21:00:00,9.48,240,227,50,2,35,5.9375,2.675,20
1999-01-14 22:00:00,8.52,240,199,46,2,30,5.1325,2.125,30
1999-01-14 23:00:00,8.52,240,175,41,3,28,4.445,1.75,15
1999-01-15 00:00:00,7.56,240,153,39,4,24,3.7625,1.3,15
1999-01-15 01:00:00,7.2,240,123,36,6,23,3.3925,0.8666667,13
1999-01-15 02:00:00,6.6,230,89,33,10,22,3.356667,0.4333333,12
1999-01-15 03:00:00,6,230,90,33,10,21,2.515,0.375,11
1999-01-15 04:00:00,5.52,220,80,30,11,23,2.1025,0.375,12
1999-01-15 06:00:00,5.52,210,206,43,5,32,5.6925,1.125,20
1999-01-15 07:00:00,6.96,220,304,65,4,43,8.4525,2.25,27
1999-01-15 08:00:00,8.4,220,322,62,3,49,9.2325,3,30
1999-01-15 09:00:00,10.56,220,357,63,5,46,10.7,2.95,26
1999-01-15 10:00:00,11.64,210,259,51,6,45,8.6225,1.8,25
1999-01-15 11:00:00,12.12,220,299,73,6,46,8.475,2.15,0
1999-01-15 12:00:00,12.48,220,283,55,7,44,7.575,2.375,19
1999-01-15 13:00:00,10.92,220,321,68,6,45,7.4475,2.975,28
1999-01-15 14:00:00,10.56,210,341,62,4,39,7.475,3.525,19
1999-01-15 15:00:00,10.56,210,361,54,4,35,8.11,3.55,18
1999-01-15 16:00:00,11.28,210,326,45,4,32,7.4525,3.375,16
1999-01-15 17:00:00,11.16,210,282,51,5,28,6.4975,3.625,14
1999-01-15 18:00:00,10.92,210,246,62,7,25,5.865,3.45,13
1999-01-15 19:00:00,11.04,210,197,53,8,20,4.3975,2.7,12
1999-01-15 20:00:00,11.04,210,241,51,8,22,4.8375,2.925,14
1999-01-15 21:00:00,10.8,210,136,45,11,19,3.225,1.525,11
1999-01-15 22:00:00,10.32,210,179,57,9,19,3.665,1.775,14
1999-01-15 23:00:00,9.12,210,136,39,11,16,3.5175,1.6,9
1999-01-16 00:00:00,9.48,200,123,32,13,14,3.2475,1.325,9
1999-01-16 01:00:00,9.12,210,101,32,14,13,2.615,0.9,9
1999-01-16 02:00:00,10.2,200,83,35,19,9,2.673333,0.6666667,5
1999-01-16 03:00:00,9.84,210,73,30,19,8,2.25,0.625,6
1999-01-16 04:00:00,10.32,210,74,29,18,9,1.835,0.45,9
1999-01-16 06:00:00,6.48,240,172,44,6,16,3.47,1.15,14
1999-01-16 07:00:00,7.92,250,208,51,5,18,4.565,1.35,13
1999-01-16 08:00:00,5.88,250,328,52,2,35,7.4775,2.425,25
1999-01-16 09:00:00,5.04,240,350,52,2,33,8.5,2.5,24
1999-01-16 10:00:00,5.28,230,348,69,3,35,8.5975,2.825,20
1999-01-16 11:00:00,5.52,230,321,61,2,40,8.085,2.45,21
1999-01-16 12:00:00,6,210,278,46,3,36,7.4975,2.325,19
1999-01-16 13:00:00,5.88,210,266,50,4,34,7.0125,2.45,17
1999-01-16 14:00:00,5.52,210,243,41,4,31,6.5475,2.2,16
1999-01-16 15:00:00,4.8,210,279,49,4,34,7.475,2.925,20
1999-01-16 16:00:00,4.8,200,273,58,3,35,7.3025,2.475,19
1999-01-16 17:00:00,3.72,200,298,50,2,38,8.11,3.125,20
1999-01-16 18:00:00,3.72,200,263,58,1,36,6.6925,2.875,18
1999-01-16 19:00:00,4.92,210,254,44,2,36,6.3525,2.675,19
1999-01-16 20:00:00,5.04,210,253,48,3,31,6.155,2.725,17
1999-01-16 21:00:00,5.76,200,252,46,3,26,6.06,2.65,15
1999-01-16 22:00:00,5.28,200,250,46,2,22,5.9125,2.375,14
1999-01-16 23:00:00,4.2,210,233,51,2,21,5.4975,2.45,13
1999-01-17 00:00:00,3.12,200,235,49,2,21,5.3975,2.4,13
1999-01-17 01:00:00,3.36,200,215,37,4,22,5.1575,2.133333,12
1999-01-17 02:00:00,3.24,220,256,52,4,22,5.213333,2.033333,11
1999-01-17 03:00:00,3.12,200,220,34,3,20,4.9125,1.775,11
1999-01-17 04:00:00,2.64,200,162,40,6,18,3.5675,1.35,9
1999-01-17 06:00:00,4.2,210,153,51,8,14,3.445,1.1,8
1999-01-17 07:00:00,3.6,210,199,43,5,18,4.665,1.425,13
1999-01-17 08:00:00,2.64,190,220,50,3,25,4.7375,1.5,15
1999-01-17 09:00:00,4.44,170,228,43,3,25,5.4475,1.625,15
1999-01-17 10:00:00,4.8,190,252,39,5,30,5.8625,2.225,16
1999-01-17 11:00:00,5.16,200,242,54,5,30,5.7175,2.225,16
1999-01-17 12:00:00,5.76,200,224,53,6,29,5.4225,2.275,15
1999-01-17 13:00:00,6.36,210,192,40,7,22,4.7375,1.95,12
1999-01-17 14:00:00,5.64,190,209,44,7,21,4.9125,2.2,12
1999-01-17 15:00:00,5.16,190,311,62,5,26,6.425,3.75,16
1999-01-17 16:00:00,4.8,190,326,56,3,34,6.7675,4.775,19
1999-01-17 17:00:00,4.08,200,310,54,2,32,6.45,4.225,20
1999-01-17 18:00:00,4.68,200,421,60,2,37,8.3075,5.675,21
1999-01-17 19:00:00,4.32,200,276,48,1,34,5.6425,2.85,18
1999-01-17 20:00:00,4.08,190,318,49,1,33,6.5975,3.375,19
1999-01-17 21:00:00,4.32,190,311,33,2,32,6.915,3.2,17
1999-01-17 22:00:00,3.48,190,300,55,2,32,6.57,2.75,17
1999-01-17 23:00:00,3.24,210,311,44,2,30,6.595,2.6,16
1999-01-18 00:00:00,3.96,200,238,52,3,27,5.815,1.925,15
1999-01-18 01:00:00,3.72,180,130,48,6,21,3.2725,0.8666667,11
1999-01-18 02:00:00,3.6,190,96,39,10,15,2.636667,0.7,8
1999-01-18 03:00:00,3,180,89,38,9,13,2.2725,0.3,7
1999-01-18 04:00:00,3.6,190,100,38,6,13,2.345,0.375,8
1999-01-18 06:00:00,3.48,190,233,50,1,26,5.275,1.125,15
1999-01-18 07:00:00,3,180,343,56,1,36,7.7925,2.25,24
1999-01-18 08:00:00,3.6,160,384,62,1,44,8.845,3.2,26
1999-01-18 09:00:00,5.64,180,274,60,1,44,6.7675,2.475,23
1999-01-18 10:00:00,6.6,190,282,58,2,42,7.7675,1.725,21
1999-01-18 11:00:00,7.92,190,286,51,3,42,8.255,2.075,22
1999-01-18 12:00:00,8.28,190,276,52,3,38,8.5,1.975,18
1999-01-18 13:00:00,8.88,190,320,74,3,38,8.7225,2.475,20
1999-01-18 14:00:00,9.360001,190,261,63,4,37,7.8675,1.925,18
1999-01-18 15:00:00,9,200,329,74,3,37,8.305,2.575,18
1999-01-18 16:00:00,9.24,190,320,78,3,30,7.4725,2.875,18
1999-01-18 17:00:00,9.96,190,268,53,3,27,6.3525,3.175,16
1999-01-18 18:00:00,9.96,190,222,57,3,21,5.395,3.05,12
1999-01-18 19:00:00,10.08,200,161,41,4,18,4.2275,1.825,11
1999-01-18 20:00:00,9,190,216,47,6,20,4.8825,2.475,14
1999-01-18 21:00:00,9.24,210,174,35,9,19,4.4475,1.725,13
1999-01-18 22:00:00,8.28,210,188,44,8,25,4.5175,1.625,17
1999-01-18 23:00:00,6.48,210,146,36,5,16,3.2025,1.3,9
1999-01-19 00:00:00,5.88,190,111,36,8,11,2.445,0.75,9
1999-01-19 01:00:00,7.32,200,76,31,11,8,1.905,0.3333333,5
1999-01-19 02:00:00,7.2,200,51,18,18,6,2.086667,0.1666667,5
1999-01-19 03:00:00,7.32,210,49,20,19,8,1.8075,0.1,6
1999-01-19 04:00:00,7.92,190,49,22,17,9,1.785,0.125,6
1999-01-19 05:00:00,9.24,200,75,29,12,7,2.2475,0.225,7
1999-01-19 06:00:00,9,210,141,46,6,12,3.47,0.6,8
1999-01-19 07:00:00,8.4,190,175,35,3,18,3.7875,1.2,11
1999-01-19 08:00:00,8.16,190,245,40,2,22,5.0075,2.225,14
1999-01-19 09:00:00,8.28,200,249,54,2,26,5.155,1.825,17
1999-01-19 10:00:00,7.8,200,244,63,3,27,5.105,1.575,17
1999-01-19 12:00:00,8.16,200,323,67,3,31,7.55,2.3,19
1999-01-19 13:00:00,7.68,200,332,57,2,31,8.38,2.475,19
1999-01-19 14:00:00,6.6,210,392,77,2,31,9.135,3,21
1999-01-19 15:00:00,6.48,210,346,69,2,29,8.4025,3.175,18
1999-01-19 16:00:00,5.64,200,374,75,2,29,7.9875,3.35,18
1999-01-19 17:00:00,6.96,200,335,59,1,27,7.695,4.25,17
1999-01-19 18:00:00,7.56,200,293,43,1,24,7.325,4.45,14
1999-01-19 19:00:00,7.32,200,304,44,2,23,6.84,4.15,13
1999-01-19 20:00:00,7.44,200,323,50,3,21,7.085,4.05,14
1999-01-19 21:00:00,8.16,200,203,50,4,18,4.8625,2.3,12
1999-01-19 22:00:00,8.88,200,170,35,7,19,4.6175,1.575,14
1999-01-19 23:00:00,8.28,200,129,39,9,18,3.64,1.325,12
